topic,terms
topic_1,第一次 火鍋 直接 希望 湯頭 份量 點了 照片 完全 實在 店裡 湯底
topic_2,下次 湯底 晚上 王子 火鍋 東西 店裡 第一次 親切 照片 份量 牛油
topic_3,麻辣 親切 火鍋 店內 飲料 貓貓 親人 點了 牛油 照片 店裡 直接
topic_4,晚上 火鍋 完全 想到 牛油 王子 店裡 點了 份量 湯頭 東西 第一次
topic_5,火鍋 東西 牛油 實在 時候 照片 想到 希望 晚上 店裡 第一次 親切
topic_6,希望 時候 店裡 第一次 火鍋 親切 湯底 照片 份量 牛油 點了 東西
