topic,terms
topic_1,喜歡 用餐 服務生 看到 本身 氛圍 印度 拍照 朋友 還是 位子 46
topic_2,101 還不錯 喜歡 46 印度 夜景 看到 服務人員 招待 推薦 saffron 咖哩
topic_3,香料 不錯 咖哩 羊肉 咖喱 搭配 很棒 招待 蒜味 印度 建議 舒適
topic_4,氣氛 服務生 很棒 點了 拍照 氛圍 不錯 夜景 風味 印度 喜歡 搭配
topic_5,咖喱 印度 羊肉 用餐 位子 奶油 不錯 點了 推薦 香料 還不錯 低消
topic_6,印度 提供 享受 窗邊 位置 推薦 46 服務人員 建議 好喝 朋友 適合
