term,score
牛排,0.3086066999241838
饕還,0.1543033499620919
海鮮,0.1543033499620919
有所,0.1543033499620919
更多更好,0.1543033499620919
整體,0.1543033499620919
搜尋,0.1543033499620919
提出,0.1543033499620919
幾間,0.1543033499620919
差不多,0.1543033499620919
小杯,0.1543033499620919
客人,0.1543033499620919
套餐,0.1543033499620919
吃過,0.1543033499620919
吃海鮮,0.1543033499620919
只有,0.1543033499620919
即使,0.1543033499620919
什麼,0.1543033499620919
不能,0.1543033499620919
歡迎,0.1543033499620919
濃湯,0.1543033499620919
針對,0.1543033499620919
生無可戀,0.1543033499620919
配菜,0.1543033499620919
還有,0.1543033499620919
選項,0.1543033499620919
選擇,0.1543033499620919
遇到,0.1543033499620919
這種,0.1543033499620919
辦法,0.1543033499620919
