term,score
牛肉,0.18033054773704155
配菜,0.13984436860648514
100,0.12625869328705638
青菜,0.11423928604545261
糖醋,0.1122485023783319
選擇,0.10806142649655114
喜歡,0.10374634478843965
老夫妻,0.09390679552275207
經營,0.09390679552275207
搭配,0.08541851877394327
親切,0.0368096242281201
整體,0.010761264217577407
