topic,terms
topic_1,親切 加利 愉快 用餐 亞的 上菜 聊天 超級 好喝 令人 推薦 第一次
topic_2,加利 紅酒 牛排 甜點 喜歡 上菜 聊天 第一次 葡萄酒 亞的 朋友 愉快
topic_3,令人 亞的 紅酒 加利 聊天 喜歡 牛排 推薦 上菜 第一次 愉快 朋友
topic_4,用餐 朋友 推薦 好喝 甜點 愉快 加利 上菜 聊天 令人 第一次 亞的
topic_5,超級 推薦 cp 第一次 紅酒 上菜 聊天 愉快 用餐 親切 令人 加利
topic_6,加利 葡萄酒 朋友 好喝 第一次 牛排 亞的 親切 上菜 聊天 推薦 令人
