place_name,rows,avg_rating,sentiment_distribution
COCA泰式海鮮火鍋 ‧ 泰式料理-聚餐餐廳推薦｜商務聚餐｜台北東區｜大安區｜忠孝敦化,20,4.75,"{'positive': 19, 'negative': 1}"
CURRY STAND 1983,20,4.45,"{'positive': 17, 'negative': 3}"
Cafe49 Restaurant & Bar,20,4.6,{'positive': 20}
Caffe Restoran ELITA,1,5.0,{'positive': 1}
Checkers - 凱撒大飯店,20,3.8,"{'positive': 13, 'negative': 7}"
Chic Thai 泰式新定食,39,3.871794871794872,"{'positive': 28, 'negative': 11}"
Chillken,40,4.125,"{'positive': 33, 'negative': 7}"
Coffee Naps 蓁澄咖啡手作坊,20,4.8,{'positive': 20}
Come See Pizza 牽絲披薩 (政大店),20,4.65,{'positive': 20}
ConfitRémi 黑米(忠孝店),20,4.5,"{'positive': 17, 'negative': 3}"
CorkyBear呆呆熊餐廳（最後供餐時間：閉店30分鐘前）,20,4.5,"{'positive': 18, 'negative': 2}"
Corner Bakery63國賓麵包房,13,4.076923076923077,"{'positive': 9, 'negative': 4}"
Creative Pasta 創義麵 錦州店,20,3.5,"{'positive': 13, 'negative': 7}"
Cui Lian Kitchen 淬煉廚房,40,4.725,"{'positive': 39, 'negative': 1}"
C：柒家珈琲（咖啡/甜點/燉飯/義大利麵）,20,4.6,"{'positive': 18, 'negative': 2}"
DA ANTONIO by 隨意鳥地方 101店5樓,20,4.25,"{'positive': 17, 'negative': 3}"
DAILY deli & café,12,3.6666666666666665,"{'positive': 7, 'negative': 5}"
DOUBLE SINGLE,20,4.7,"{'positive': 19, 'negative': 1}"
Danny & Company（現為D&C Residence教父牛排餐飲）,20,4.4,"{'positive': 15, 'negative': 5}"
Divino Taipei,20,4.4,"{'positive': 17, 'negative': 3}"
Domo De Sardegna,20,4.45,"{'positive': 17, 'negative': 3}"
Double like雙倍喜歡,20,4.65,"{'positive': 19, 'negative': 1}"
EMBERS,20,4.2,"{'positive': 15, 'negative': 5}"
Ephernité,20,4.55,"{'positive': 17, 'negative': 3}"
Este día 這一天異國廚房 古巴三明治（台北總店）,40,4.525,"{'positive': 36, 'negative': 4}"
FEED ZONE CAFE 運動早午餐,20,4.75,"{'positive': 19, 'negative': 1}"
Flügel Studio,40,4.7,"{'positive': 39, 'negative': 1}"
Freshgreen,20,4.9,{'positive': 20}
Futura by TPH,20,4.9,{'positive': 20}
GALERIE Bistro 家樂利小酒館,20,4.45,"{'positive': 17, 'negative': 3}"
Go! Caf‘e 早午餐,20,4.25,"{'positive': 16, 'negative': 4}"
Grand Hyatt Taipei,20,3.9,"{'positive': 13, 'negative': 7}"
Gusto Market of Taste Co. Ltd. 好食多有限公司,20,4.6,{'positive': 20}
Gustoso Italian Restaurant,20,4.8,"{'positive': 19, 'negative': 1}"
HALOA POKE 夏威夷拌飯 中山店,20,4.15,"{'positive': 14, 'negative': 6}"
HANNA Pasta Café パスタ カフェ,20,4.8,"{'positive': 19, 'negative': 1}"
Here cafe’ 牛排、海鮮、漢堡、炸雞 （牛排、海鮮、炸物、下午茶吃到飽）,20,4.7,"{'positive': 18, 'negative': 2}"
HoWine & Café 猴頑咖啡@敦北民生,20,4.2,"{'positive': 17, 'negative': 3}"
INDO SARI JAYA,19,4.0,"{'positive': 11, 'negative': 8}"
INDULGE Taipei Drinking & Eatery,20,4.3,"{'positive': 16, 'negative': 4}"
I’m Pasta 和平店,20,4.0,"{'positive': 16, 'negative': 4}"
J's Place 輕鬆小酒吧,20,4.65,"{'positive': 19, 'negative': 1}"
"J.W. Teres, the Bulgarian Restaurant",20,4.1,"{'positive': 16, 'negative': 4}"
JJ's POKE & CAFE 2号店,20,4.35,"{'positive': 17, 'negative': 3}"
JJ's POKE & CAFE 鮮魚沙拉飯,60,4.55,"{'positive': 58, 'negative': 2}"
JODO 飯糰咖啡手作專門店 台北汀州店,40,4.225,"{'positive': 33, 'negative': 7}"
James Joyce Irish Bar-Anhe 安和酒吧,20,4.65,"{'positive': 19, 'negative': 1}"
