term,score
抱怨,0.20952908873087345
告知,0.20952908873087345
服務員,0.20952908873087345
熟度,0.20952908873087345
已經,0.20952908873087345
等等,0.13968605915391563
不足,0.13968605915391563
美食,0.13968605915391563
討論,0.13968605915391563
羊肉,0.13968605915391563
今日,0.13968605915391563
然而,0.13968605915391563
店家,0.13968605915391563
部分,0.13968605915391563
廚師,0.13968605915391563
稍作,0.13968605915391563
否則,0.13968605915391563
善意,0.06984302957695782
四人,0.06984302957695782
回頭,0.06984302957695782
圖片,0.06984302957695782
問題,0.06984302957695782
問才,0.06984302957695782
堅持,0.06984302957695782
預感,0.06984302957695782
如同,0.06984302957695782
壓根,0.06984302957695782
太多意,0.06984302957695782
好奇,0.06984302957695782
如此,0.06984302957695782
