topic,terms
topic_1,缺點 適合 回訪 用餐 整體 大利 濃湯 奶油 分鐘 店內 好喝 舒適
topic_2,大利 飲料 青醬 第一次 奶雞肉 甜點 青麻 提拉 推薦 特別 裝潢 雞肉
topic_3,濃湯 不錯 服務費 回訪 用餐 整體 大利 奶油 分鐘 店內 好喝 舒適
topic_4,整體 用餐 大利 香氣 特別 不過 建議 喜歡 點了 適合 親切 回訪
topic_5,店內 用餐 時間 明亮 選擇 大利 速度 上菜 不錯 分鐘 份量 濃湯
topic_6,大利 剛好 回訪 用餐 培根 蛋糕 搭配 甜點 起來 推薦 好喝 舒適
