topic,terms
topic_1,大利 咖啡 普通 披薩 裝潢 蜜糖 午餐 沙拉 吐司 其他 靠近 服務費
topic_2,午餐 朋友 直接 服務費 10 自己 披薩 這樣 氣氛 大利 普通 沙拉
topic_3,大利 還行 靠近 套餐 這個 一樓 第一次 裝潢 只有 自己 用餐 蜜糖
topic_4,套餐 用餐 咖啡 第一次 知道 直接 10 這樣 沙拉 普通 桌子 客人
topic_5,吐司 只有 這樣 還不錯 店家 朋友 桌子 客人 蜜糖 用餐 這個 一樓
topic_6,用餐 其他 氣氛 普通 直接 10 裝潢 只有 還不錯 沙拉 第一次 大利
