topic,terms
topic_1,美味 蝦子 新鮮 喜歡 天婦 漢堡 生魚片 豬排 唐揚 驚艷 附近 整體
topic_2,白飯 漢堡 推薦 搭配 排定 份量 附近 輔大 酥脆 驚艷 定食 多汁
topic_3,點了 小菜 沙拉 套餐 豬排 驚艷 蝦子 唐揚 整體 定食 多汁 新鮮
topic_4,附近 酥脆 輔大 套餐 豬排 唐揚 驚艷 蝦子 新鮮 整體 定食 份量
topic_5,套餐 生魚片 定食 份量 多汁 新鮮 喜歡 沙拉 美味 豬排 唐揚 驚艷
topic_6,漢堡 唐揚 推薦 整體 沙拉 天婦 排定 豬排 生魚片 酥脆 驚艷 份量
