topic,terms
topic_1,上去 需要 下來 沒有 舒服 巴斯克 空間 三明治 不錯 咖啡 雖然 高空
topic_2,一樓 打電話 上樓 acme 整體 高空 景觀 帶位 咖啡 不錯 空間 35
topic_3,普通 雖然 咖啡 推薦 不會 不錯 三明治 舒服 高空 景觀 打電話 地方
topic_4,飲品 不錯 位子 35 氣氛 明亮 巴斯克 中間 地方 朋友 擺盤 體驗
topic_5,101 咖啡 三明治 用餐 35 高空 整體 高樓 明亮 普通 空間 不錯
topic_6,咖啡 不錯 點了 舒服 用餐 沒有 朋友 中間 座位 擺盤 高樓 景觀
