term,score
實在,0.175546706253014
裡面,0.14273180992083426
節瓜,0.14208900990985462
椰奶,0.14208900990985462
普普,0.14208900990985462
可頌,0.14208900990985462
一點,0.14208900990985462
優格,0.14208900990985462
這家店,0.11703113750200934
用餐,0.11703113750200934
受氣,0.11703113750200934
完全,0.11703113750200934
還有,0.09218305951424663
金合歡,0.07104450495492731
外皮,0.07104450495492731
本身,0.07104450495492731
桂花,0.07104450495492731
桂花酒,0.07104450495492731
奶油,0.07104450495492731
淡淡,0.07104450495492731
滿厚實,0.07104450495492731
滿香,0.07104450495492731
煎餅,0.07104450495492731
玉米,0.07104450495492731
小碗,0.07104450495492731
不是,0.07104450495492731
百香果,0.07104450495492731
不過,0.07104450495492731
糊感,0.07104450495492731
一種,0.07104450495492731
