topic,terms
topic_1,套餐 限定 101 台北 魚頭 南港 湯頭 知道 吃過 失望 一次 鬼頭
topic_2,沙鍋 湯頭 魚頭 其實 裡面 第一次 主菜 魚排 一樣 林聰明 101 鬼頭
topic_3,火雞肉 不錯 台北 南港 失望 第一次 泡菜 小菜 魚頭 好喝 還是 雞肉
topic_4,林聰明 101 沙鍋 台北 雞肉 飲料 知道 吃過 南港 失望 一定 其實
topic_5,砂鍋 還是 101 配料 小菜 沒有 魚排 火雞肉 魚頭 林聰明 限定 吃過
topic_6,湯頭 龍蝦 飲料 鮮甜 白菜 不是 豆腐 豆皮 沒有 一次 雞肉 套餐
