topic,terms
topic_1,胡麻 搭配 舒肥 日式 心蛋 清爽 豆乳 特色 胸肉 小店 酒釀 一碗
topic_2,整體 特色 店內 不過 份量 空間 用餐 小菜 親切 口感 調味 位子
topic_3,小菜 簡單 清爽 舒肥 不錯 選擇 搭配 豆乳 提供 店面 酒釀 半顆
topic_4,心蛋 內用 加點 清爽 第一次 蔬菜 用餐 選擇 店內 位置 豆乳 醬汁
topic_5,胡麻 座位 口感 下次 深培 100 蔬菜 位置 點了 胸肉 半顆 調味
topic_6,份量 胡麻 100 文青 只有 服務態度 小菜 小店 內用 不錯 風格 機會
